Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
29.05,34,42,66,553,856,1397,1306,1274,1161,989,780,548,532,389,328,246,192,212,194,205,177,170,155,116,91,52,59,37,15,20,17,7,14,4,7,1,3,8,7,9,5,1,3,2,3,5,2,8,7,11,5,11,17,17,17,16,19,12,9,15,9,10,10,8
29.055,38,48,45,371,1041,1497,1225,1277,1149,969,751,633,505,395,323,271,212,209,212,223,175,180,129,115,87,51,48,28,10,13,22,8,13,6,4,7,1,6,5,9,9,3,2,2,2,6,3,6,5,10,8,8,13,13,20,17,17,14,10,13,11,9,12,4
29.06,29,55,82,423,1334,1277,1162,1157,1141,960,759,576,534,427,359,286,229,197,216,180,181,160,147,112,89,59,54,31,17,9,8,19,17,9,9,10,3,2,4,5,11,7,4,1,4,1,5,4,4,5,8,10,7,13,11,24,18,14,16,14,8,13,9,10
29.065,31,55,119,832,1239,1125,1032,1046,1113,974,760,605,505,443,357,323,239,213,212,186,162,162,150,115,96,69,38,39,20,12,12,7,12,19,15,8,10,4,3,3,7,8,8,6,2,1,2,4,3,3,4,8,10,9,11,14,22,18,16,14,14,11,13,9
29.07,29,46,136,679,1323,1259,1098,1057,1085,951,707,572,459,457,388,321,257,231,197,174,167,157,147,120,91,69,47,26,33,10,19,9,10,8,13,17,16,8,5,2,7,6,7,4,7,4,1,3,4,2,3,5,8,7,10,11,22,17,17,12,16,13,12,14
29.075,49,64,185,780,1081,1310,1103,1081,1036,905,770,599,514,422,389,329,273,237,182,189,152,153,143,114,103,76,43,28,26,13,22,12,9,8,11,19,11,10,8,4,4,4,8,4,7,7,3,1,3,4,2,4,5,9,5,10,19,14,13,16,18,13,13,11
29.08,34,64,139,698,1294,1297,1072,1073,1004,929,832,634,556,443,344,298,241,217,172,170,149,154,153,109,94,89,52,26,23,17,13,17,18,7,11,5,17,22,6,10,7,4,5,6,5,7,7,2,2,2,5,2,2,5,10,6,6,19,11,21,13,16,16,14
29.085,36,80,161,808,1249,1240,1030,986,980,918,837,696,582,493,374,315,253,209,182,174,164,149,142,113,95,73,41,23,17,18,12,12,19,8,15,7,11,20,14,6,9,4,4,7,3,6,11,1,4,1,4,1,6,4,5,7,9,10,13,16,12,21,13,11
29.09,44,65,106,580,1314,1418,1117,1098,1026,899,816,646,575,471,352,304,253,201,189,165,173,146,136,119,98,71,50,20,11,14,20,10,9,20,9,13,6,12,18,15,8,8,6,4,4,5,7,9,4,3,2,3,4,4,3,6,10,7,6,18,12,19,16,9
29.095,43,76,99,706,1247,1301,1274,1082,969,828,755,657,592,491,416,326,270,230,180,190,166,142,128,132,92,53,42,16,10,9,17,12,10,11,16,9,13,11,11,21,10,8,8,4,6,5,6,6,7,5,2,3,1,3,6,3,5,8,11,8,17,16,15,9
29.1,39,55,165,749,1201,1317,1167,1050,1002,840,806,671,595,496,409,340,265,229,190,193,157,137,141,124,85,63,37,14,11,7,9,15,13,8,11,16,12,11,12,12,20,11,8,5,6,7,6,5,4,5,6,4,2,2,3,5,3,2,12,10,10,15,16,14
29.105,46,58,278,870,901,1316,1355,1069,942,833,729,644,602,499,439,352,281,244,194,156,141,162,125,130,91,70,40,25,12,9,5,12,9,13,10,10,14,11,13,11,14,18,14,7,8,6,5,8,3,7,2,8,3,3,4,2,2,5,4,8,14,9,14,14
29.11,55,73,132,649,1289,1289,1183,1201,989,905,774,663,620,484,400,358,270,213,186,160,144,150,143,118,90,68,33,27,8,9,6,6,11,11,20,5,10,12,15,10,12,13,18,12,7,6,6,10,3,7,2,3,7,7,1,2,3,5,2,7,10,10,4,14
29.115,55,75,75,307,1452,1439,1295,1184,1084,923,795,691,594,457,395,319,259,203,172,171,163,139,138,120,84,66,42,17,15,5,3,9,6,11,14,15,7,8,14,14,12,13,13,15,11,8,6,10,6,7,3,2,7,4,6,3,0,3,7,4,4,12,6,5
29.12,27,58,105,335,1162,1588,1418,1222,968,962,832,778,571,456,409,307,243,196,195,169,145,156,123,116,90,60,27,19,9,6,8,4,7,8,7,20,10,6,13,16,11,13,14,14,14,8,8,7,10,3,6,2,6,4,8,5,0,2,2,6,2,10,9,5
29.125,27,54,99,483,1262,1368,1369,1233,1017,943,819,752,627,465,376,315,240,198,182,178,160,140,150,115,85,59,37,16,11,7,8,6,2,12,4,13,14,11,7,14,12,12,15,12,17,9,8,10,8,6,9,2,7,3,5,7,4,0,2,5,4,5,6,4
